Country,2019_females,2019_males,2019_total,2020_females,2020_males,2020_total,2021_females,2021_males,2021_total,2022_females,2022_males,2022_total
European Union - 27 countries (from 2020),17972.8,14266.0,32238.8,18789.9,14595.95,33385.85,19888.75,15571.2,35459.975,20558.2,16181.4,36739.6
European Union - 28 countries (2013-2020),21723.8,17893.9,39617.7,,,,,,,,,
European Union - 15 countries (1995-2004),17115.3,15100.8,32216.0,,,,,,,,,
Euro area - 19 countries  (from 2015),12868.9,11010.5,23879.3,13680.8,11260.525,24941.300000000003,14575.725000000002,12168.225000000002,26743.95,15187.1,12783.1,27970.2
Belgium,582.8,421.8,1004.6,592.025,454.375,1046.425,607.9749999999999,479.15,1087.125,613.1,465.9,1078.9
Bulgaria,315.9,163.4,479.3,317.90000000000003,172.85,490.75,333.225,169.95000000000002,503.20000000000005,336.0,169.6,505.5
Czechia,366.0,312.9,678.9,378.875,315.575,694.4250000000001,425.15000000000003,343.675,768.775,415.9,331.8,747.7
Denmark,423.6,321.4,745.0,421.20000000000005,312.6,733.775,409.6,308.025,717.625,418.1,303.1,721.2
Germany (until 1990 former territory of the FRG),2993.7,3493.8,6487.6,,,,3854.3,3714.7250000000004,7569.025,4216.4,4106.7,8323.2
Estonia,76.4,42.6,119.0,77.6,41.8,119.4,89.7,44.2,133.925,96.9,45.7,142.6
Ireland,272.9,224.7,497.7,280.70000000000005,235.6,516.3,297.15,249.97500000000002,547.125,315.0,262.0,577.0
Greece,300.9,232.6,533.6,315.35,249.3,564.625,350.84999999999997,245.64999999999998,596.5,395.8,257.4,653.1
Spain,1874.3,1262.7,3137.0,1827.25,1251.975,3079.2000000000003,1965.5,1265.225,3230.7,2013.8,1310.1,3323.9
France,2336.4,1994.1,4330.5,2424.875,2093.5499999999997,4518.450000000001,2765.4500000000003,2661.3999999999996,5426.825,2741.4,2665.7,5407.1
Croatia,191.7,79.3,270.9,184.14999999999998,103.125,287.3,174.29999999999998,93.375,267.65,170.9,91.0,261.9
Italy,1490.5,1001.6,2492.1,1489.6750000000002,994.0749999999999,2483.7749999999996,1420.7,906.125,2326.85,1469.0,931.8,2400.8
Cyprus,39.1,26.8,65.9,39.974999999999994,27.549999999999997,67.525,41.325,32.675,74.025,44.8,33.9,78.7
Latvia,102.0,44.9,146.8,100.02499999999999,50.375,150.375,100.775,47.05,147.8,108.5,57.9,166.3
Lithuania,205.6,98.6,304.2,207.2,96.275,303.475,213.975,109.025,323.0,217.7,112.8,330.4
Luxembourg,51.6,57.4,109.0,54.2,57.650000000000006,111.85,58.975,62.925,121.89999999999999,58.1,64.0,122.1
Hungary,374.7,299.1,673.8,382.375,326.70000000000005,709.0500000000001,422.65,340.4,763.05,413.4,350.6,764.0
Malta,21.3,21.2,42.4,24.975,21.975,46.95,27.275,23.75,51.025,27.0,24.4,51.4
Netherlands,978.4,960.0,1938.4,1012.5999999999999,997.0,2009.6,1100.6,1137.775,2238.35,1160.4,1198.8,2359.2
Austria,428.0,311.0,739.0,430.35,317.425,747.8,416.9,325.45,742.375,434.7,342.9,777.6
Poland,1862.0,972.3,2834.3,1871.475,998.925,2870.4000000000005,1936.225,1028.5,2964.7250000000004,1940.8,973.2,2914.0
Portugal,494.7,324.8,819.4,559.25,346.425,905.675,609.225,372.45,981.6750000000001,614.0,400.9,1015.0
Romania,743.4,548.3,1291.7,732.65,532.775,1265.375,774.2,518.5,1292.7250000000001,809.0,558.2,1367.2
Slovenia,125.6,78.1,203.7,129.92499999999998,86.25,216.14999999999998,140.02499999999998,92.17500000000001,232.2,141.6,91.8,233.4
Slovakia,184.9,105.8,290.7,190.3,113.125,303.425,215.72500000000002,109.92499999999998,325.67499999999995,219.3,117.5,336.8
Finland,309.7,308.1,617.8,326.425,324.275,650.675,299.25,288.575,587.85,299.6,293.0,592.6
Sweden,826.6,559.0,1385.6,820.5250000000001,572.875,1393.375,837.6750000000001,600.575,1438.225,867.0,620.8,1487.8
Iceland,28.4,17.4,45.8,25.225,17.575,42.8,25.375,16.125,41.5,28.0,16.0,44.0
Norway,420.8,273.9,694.8,420.95,277.27500000000003,698.25,443.55000000000007,297.0,740.575,450.1,298.3,748.4
Switzerland,523.6,519.7,1043.4,533.125,510.525,1043.6,527.0999999999999,495.5,1022.575,529.3,484.4,1013.7
United Kingdom,3751.0,3627.8,7378.9,3833.566666666667,3726.5,7560.133333333334,,,,,,
Montenegro,23.7,13.0,36.7,22.724999999999998,13.45,36.225,,,,,,
North Macedonia,71.3,49.2,120.5,69.65,48.0,117.625,,,,,,
Serbia,214.9,132.1,347.0,221.07500000000002,138.975,359.99999999999994,228.14999999999998,159.375,387.525,230.7,160.3,390.9
Turkey,1451.3,1518.5,2969.8,1440.5500000000002,1501.9750000000001,2942.5000000000005,,,,,,
