Country,2019_females,2019_males,2019_total,2020_females,2020_males,2020_total,2021_females,2021_males,2021_total,2022_females,2022_males,2022_total
European Union - 27 countries (from 2020),15292.8,14311.1,29603.9,14117.025000000001,13818.175,27935.200000000004,14507.150000000001,13314.05,27821.199999999997,14747.1,13699.0,28446.1
European Union - 28 countries (2013-2020),17176.5,16005.3,33181.8,,,,,,,,,
European Union - 15 countries (1995-2004),14585.9,13553.7,28139.6,,,,,,,,,
Euro area - 19 countries  (from 2015),12582.5,11525.4,24107.9,11320.574999999999,11033.775,22354.325,11624.55,10539.425000000001,22164.0,11890.4,10926.3,22816.7
Belgium,296.2,316.9,613.1,306.275,308.9,615.2249999999999,318.15,310.47499999999997,628.625,336.9,340.6,677.5
Bulgaria,119.1,142.9,262.0,133.475,139.5,272.95,132.375,142.2,274.57500000000005,121.0,135.7,256.8
Czechia,362.5,421.8,784.3,353.87500000000006,418.15000000000003,772.0,329.45,408.55000000000007,738.0,318.8,401.8,720.6
Denmark,189.9,263.2,453.1,203.57500000000002,252.05,455.625,214.55,253.45,467.975,212.9,270.7,483.6
Germany (until 1990 former territory of the FRG),5405.3,3677.5,9082.9,,,,4317.875,3351.6,7669.475,4448.2,3501.0,7949.3
Estonia,47.5,39.0,86.5,48.15,39.325,87.475,47.324999999999996,41.7,89.02499999999999,48.6,45.2,93.8
Ireland,125.3,127.1,252.4,116.825,127.05000000000001,243.875,135.17499999999998,138.175,273.325,145.8,140.6,286.4
Greece,138.8,124.4,263.3,155.2,119.175,274.375,133.125,123.29999999999998,256.42499999999995,109.6,140.2,249.8
Spain,829.9,1172.8,2002.7,811.4250000000001,1145.575,1957.0,829.0,1170.05,1999.0499999999997,812.6,1212.6,2025.2
France,2534.0,2461.2,4995.3,2478.6,2401.4,4880.0,2554.875,1825.8250000000003,4380.650000000001,2636.4,1877.0,4513.4
Croatia,95.3,129.8,225.1,99.9,128.75,228.625,108.07499999999999,121.45,229.525,109.5,114.0,223.5
Italy,1337.5,1822.9,3160.4,1342.4,1767.75,3110.175,1308.325,1712.775,3021.1000000000004,1313.4,1757.8,3071.3
Cyprus,22.0,21.0,43.0,23.275,23.65,46.95,25.25,28.525,53.775,25.3,29.2,54.5
Latvia,66.6,49.3,115.9,67.15,47.8,114.95,62.99999999999999,48.625,111.575,63.1,48.8,111.9
Lithuania,72.7,43.1,115.8,65.3,51.4,116.67500000000001,66.225,52.1,118.35000000000001,62.1,50.4,112.5
Luxembourg,23.5,19.7,43.2,24.525,20.075,44.6,23.849999999999998,20.025000000000002,43.824999999999996,26.0,21.2,47.2
Hungary,335.6,225.8,561.3,341.22499999999997,229.45,570.7,387.85,230.75000000000003,618.6,413.1,244.6,657.8
Malta,11.3,20.4,31.7,11.3,19.349999999999998,30.675,11.150000000000002,18.125,29.275,12.6,17.2,29.8
Netherlands,686.6,582.8,1269.4,681.1999999999999,575.6750000000001,1256.85,752.95,610.475,1363.4250000000002,766.3,616.8,1383.1
Austria,300.9,371.5,672.4,315.54999999999995,374.275,689.85,318.15,380.525,698.675,329.9,389.3,719.3
Poland,959.6,876.5,1836.1,1004.525,898.75,1903.3,1065.725,924.5000000000001,1990.25,1037.4,936.0,1973.5
Portugal,204.6,257.6,462.2,200.475,264.4,464.875,213.925,279.15,493.07499999999993,239.8,300.0,539.8
Romania,270.5,251.2,521.8,282.2,251.65000000000003,533.875,271.77500000000003,254.025,525.85,273.3,232.5,505.8
Slovenia,54.0,60.4,114.5,57.900000000000006,61.65,119.525,68.775,65.6,134.4,67.3,65.8,133.1
Slovakia,174.0,170.4,344.3,173.25,170.675,343.95000000000005,191.525,176.925,368.45,192.8,187.5,380.4
Finland,251.6,187.4,439.0,253.10000000000002,189.175,442.275,245.875,185.55,431.40000000000003,253.4,185.1,438.6
Sweden,377.9,474.4,852.4,377.67499999999995,466.175,843.875,372.775,439.70000000000005,812.425,370.7,437.3,808.0
Iceland,10.1,10.9,20.9,11.674999999999999,11.2,22.85,11.925,12.325,24.275,12.9,13.1,26.0
Norway,161.0,227.7,388.7,163.25,231.47500000000002,394.8,166.475,238.75,405.275,163.5,246.3,409.8
Switzerland,346.1,368.3,714.4,341.8,364.05,705.8499999999999,333.975,343.525,677.5,343.0,329.2,672.2
United Kingdom,1883.7,1694.2,3577.9,1953.2666666666667,1782.1666666666667,3735.466666666667,,,,,,
Montenegro,18.1,14.1,32.2,14.100000000000001,12.825000000000001,26.975,,,,,,
North Macedonia,39.4,40.6,79.9,41.2,42.8,84.025,,,,,,
Serbia,167.8,140.1,307.9,158.925,141.225,300.125,160.3,141.35,301.675,166.0,135.5,301.5
Turkey,438.8,1071.5,1510.3,435.9,989.225,1425.1750000000002,,,,,,
